symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
RAB44	0.2562441012209232	No data	0.4215020890990059	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.11340319911748487	-0.08945751874593927	No data	No data	No data	0	1	0.5
NLRP8	0.2562441012209232	No data	0.4215020890990059	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	0.23298400441257594	No data	0	No data	No data	0	No data	No data
DLG2	0.25485947908159695	No data	0.4144454792705767	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09558023095782708	No data	No data	No data	1	0	0	0	0	0.676925	No data	-0.7470490899062328	-0.25208176952306205	0	No data	No data	-0.1538450000000001	0.5	0
NRIP2	0.2546283859543555	No data	0.41884436017177373	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.12068394925537773	No data	0	No data	No data	0	0.75	0
ZAP70	0.25343859398449614	No data	0.4148214588106874	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.033209934337093384	No data	No data	1	0	1	1	1	0.6768999999999998	No data	-0.5399889685603971	-0.22065157412402003	0	255	No data	0	0.5	0
ASCC2	0.25341997832078095	No data	0.41182025245380316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.09532354906550218	No data	No data	0	0	0	0	0	0.346105	No data	-0.5779371207942636	-0.5228114106769374	0	No data	No data	No data	-1	-1
HTR1B	0.2532943923528106	No data	0.41278933577782795	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07721412427352675	No data	1	1	0	1	1	0	0.6025649999999999	No data	-0.4107004964147821	-0.6837580055105471	0	255	No data	0	0.75	0.5
CACNA2D3	0.2519856057000795	No data	0.4144971873279917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	0	0	0.9037599999999998	No data	-0.7360176503033646	-0.22574289577974915	0	No data	No data	0	0.5	0.5
NEK1	0.248931814875871	No data	0.40388899127708633	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11169884057783522	No data	No data	No data	0	0	1	1	0	0.08242499999999993	No data	-0.01709873138444562	-0.8838399357201034	0	No data	No data	0	-1	-1
AGBL4	0.24865729305009562	No data	0.4090223657478713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.32405499999999987	No data	0.24335355763927202	-0.7832676941189001	0	255	No data	0	0.5	0.5
